arquivo;status;natureza;referencias;paginas_que_referenciam
pasta2/Image46.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image47.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image48.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image49.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image5.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image50.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image51.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image52.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image53.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image54.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image55.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image56.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image57.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image58.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image59.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image6.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image60.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image7.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image8.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta2/Image9.gif;não recuperada;figura/conteúdo;1;pasta2/art1p2.html
pasta3/Image61.gif;não recuperada;figura/conteúdo;1;pasta3/art2p3.html
pasta3/Image62.gif;não recuperada;figura/conteúdo;1;pasta3/art2p3.html
pasta3/Image63.gif;não recuperada;figura/conteúdo;1;pasta3/art3p3.html
pasta3/Image64.gif;não recuperada;figura/conteúdo;1;pasta3/art3p3.html
pasta5/Image65.gif;recuperada;figura/conteúdo;1;pasta5/art4p5.html
pasta5/Image66.gif;recuperada;figura/conteúdo;1;pasta5/art4p5.html
pasta5/Image67.gif;recuperada;figura/conteúdo;1;pasta5/art4p5.html
pasta5/Image68.gif;recuperada;figura/conteúdo;1;pasta5/art4p5.html
pasta5/Image69.gif;recuperada;figura/conteúdo;1;pasta5/art4p5.html
posters/Image29.gif;não recuperada;figura/conteúdo;1;posters/ufscar.html
